SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_409,Dinajpur,BGD,Bangladesh,88.57023394300006,25.577193325000053,88.67469596100005,25.69498532500006
30_2999,Beilun,CHN,China,121.75002255600009,29.873138012000027,121.90237236700011,29.975623400000075
30_721,Mahilyow,BLR,Belarus,30.237499805000027,53.84519695400007,30.418391477000057,53.96351935600006
30_3024,Huangyan,CHN,China,121.1796686350001,28.595369110000036,121.35838006000006,28.697370342000056
30_6411,Neeleshwaram,IND,India,74.95173625300004,12.207390793000059,75.14827913200008,12.550145538000038
30_9078,Mishima,JPN,Japan,138.71106506800004,35.02423210100005,138.97910988600006,35.19007363400004
30_8500,Canning,IND,India,88.59265349600008,22.26262281000004,88.79817401400004,22.412601984000048
30_10725,Hafizabad,PAK,Pakistan,73.63841467400005,32.051220855000054,73.75088345300003,32.094288289000076
30_5183,Gresik,IDN,Indonesia,112.58239397700004,-7.205314359999932,112.67882668900006,-7.107971035999981
30_3383,Santa Marta,COL,Colombia,-74.22943657699994,11.196418218000076,-74.12587128099995,11.261600180000073
30_2486,Jixi,CHN,China,130.86791118700012,45.24681930500003,131.03985655400004,45.36688991400007
30_2886,Fuyang,CHN,China,119.87135409500002,29.98416565200006,120.04722449000008,30.08669439700003
30_3872,Aswan,EGY,Egypt,32.85103298300004,24.016316412000037,32.93422439600005,24.12517017700003
30_3228,Malemba Nkulu,COD,Democratic Republic of the Congo,26.772796292000066,-8.05742214299994,26.813612316000047,-8.016830586999959
30_6737,Irinjalakuda,IND,India,76.17687624500007,10.243755648000047,76.37758252100008,10.398384333000024
30_9816,Seremban,MYS,Malaysia,101.87225837000005,2.645031048000021,102.02370404100009,2.7583068170000615
30_12487,Grand Rapids,USA,United States,-85.87136849799998,42.809964501000024,-85.49972634799997,43.05563831400008
30_11182,Bryansk,RUS,Russia,34.20805877000004,53.186793081000076,34.49344507100005,53.343683819000034
30_130,Saurimo,AGO,Angola,20.343499691000034,-9.698713249999969,20.444465233000074,-9.64178841499995
30_2962,Raoping,CHN,China,116.83638612800007,23.581249470000046,117.06171432600001,23.72342204100005
30_10215,Oron,NGA,Nigeria,8.189275019000036,4.76574894700002,8.26956983100007,4.830537454000023
30_5010,Bengkulu,IDN,Indonesia,102.24027041000005,-3.891319993999957,102.34374718600009,-3.7132407519999333
30_1459,Xingping,CHN,China,108.35950978200009,34.27514983000003,108.53075004700008,34.318631682000046
30_1322,Dujiangyan,CHN,China,103.57491443300006,30.891243231000033,103.70498508500003,31.054173081000044
30_9401,Tepic,MEX,Mexico,-104.93443171499996,21.455441445000076,-104.80782338699998,21.54689069400007
